Company,Valuation,Category,Country,Funding,Investors
JOLLY Information Technology,1000,E-commerce,China,35,"Legend Capital, CDH Investments, Sequoia Capital China"
Jumia Group,1044,E-commerce,Nigeria,550,AXA
Jusfoun Big Data,1615,Internet Software & Services,China,137,"Boxin Capital, DT Capital Partners, IDG Capital"
JUUL Labs,38000,Other,United States of America,13562,Tiger Global Management
Kabbage,1000,Fintech,United States of America,2449,"BlueRun Ventures, SV Angel, Mohr Davidow Ventures"
Katerra,3000,Other,United States of America,1291,"Foxconn Technology Company, Khosla Ventures, Moore Capital Management"
Kendra Scott,1000,Other,United States of America,,"Berkshire Partners, Norwest Venture Partners"
Kik Interactive,1000,Social,Canada,116,"Union Square Ventures, RRE Ventures, Spark Capital"
Klarna,2500,Fintech,Sweden,389,"Institutional Venture Partners, Sequoia Capital, General Atlantic"
Klook,1000,Travel Tech,Hong Kong,296,"Sequoia Capital China, Goldman Sachs, Matrix Partners China"
Koudai,1400,E-commerce,China,362,"New Enterprise Associates, Tiger Global management, Tencent"
Kuaishou,3000,Social,China,360,"Morningside Venture Capital, Sequoia Capital, Baidu"
L&P Cosmetic,1780,Other,South Korea,,CDIB Capital
Lakala Payment,1611,Fintech,China,269,"China Continent Property & Casualty Insurance, China Renaissance Capital Investment, China Taiping Life Insurance"
LegalZoom,2000,Internet Software & Services,United States of America,285,"K1 Capital, Francisco Partners, Neuberger Berman"
letgo,1500,E-commerce,United States of America,975,"Accel Partners, FJ Labs, Insight Venture Partners"
Lianjia,5769,Internet Software & Services,China,1687,"Tencent, Baidu, Huasheng Capital"
LifeMiles,1146,Other,Colombia,344,Advent International
Lime,1100,Travel Tech,United States of America,467,"Andreessen Horowitz, Coatue Management, Uber"
LinkDoc Technology,1000,Internet Software & Services,China,151,"China Investment Corporation, New Enterprise Associates"
Logic Show,1179,Internet Software & Services,China,188,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings"
Looker,1600,Internet Software & Services,United States of America,280,"Redpoint Ventures, First Round Capital, capitalG"
Lookout,1280,Cybersecurity,United States of America,281,"Accel Partners, Greylock Partners, Lowercase Capital"
Lu.com,38000,Fintech,China,3031,"Ping An Insurance CDH Investments, Bank of China"
luckin coffee,2200,Other,China,400,"JOY Capital, Lu Zhengyao"
Lyft,15100,On-Demand,United States of America,4762,"Founders Fund, Mayfield Fund, capitalG"
Machine Zone,4169,Other,United States of America,593,"J.P. Morgan Chase & Co., Menlo Ventures"
Magic Leap,4984,Hardware,United States of America,2354,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz"
Manbang Group,6000,Other,China,2000,"Softbank Group, CapitalG"
Maoyan-Weiying,3012,E-commerce,China,151,"Tencent Holdings, Enlight Media Group"
MarkLogic,1046,Data Analytics,United States of America,172,"Sequoia Capital, Tenaya Capital, Northgate Capital"
Medallia,1154,Internet Software & Services,United States of America,255,Sequoia Capital
MediaMath,1000,Internet Software & Services,United States of America,606,"Silicon Valley Bank, QED Investors, European Founders Fund"
Medlinker,1000,Social,China,247,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China"
Meicai,2800,Other,China,652,"Tiger Global Management, Blue Lake Capital, ZhenFund"
Meizu Technology,4580,Hardware,China,943,"Telling Telecommunication Holding Co., Alibaba Group"
Mia.com,1000,E-commerce,China,232,"Sequoia Capital China, ZhenFund, K2 Ventures"
MindMaze,1000,Other,Switzerland,118,Hinduja Group
MINISO Life,2184,Other,China,146,"Hillhouse Capital Management, and Tencent Holdings"
Mofang Living,1000,Other,China,560,"Warburg Pincus, Aviation Industry Corporation of China"
Momenta,1000,Auto Tech,China,62,"Sinovation Ventures, Tencent Holdings, Sequoia Capital China"
Monzo,1274,Fintech,United Kingdom,272,"Passion Capital, Thrive Capital, Orange Digital Ventures"
Mu Sigma,1500,Data Analytics,United States of America,208,"Sequoia Capital, General Atlantic"
NetEase Cloud Music,1160,E-commerce,China,708,"CICC Jiatai Fund, Mango Cultural Creativity Investment Fund, and Shanghai Media Group"
Netskope,1000,Internet Software & Services,United States of America,400,"Lightspeed Venture Partners, Social Capital, Accel"
Nextdoor,1500,Social,United States of America,285,"Benchmark Capital, DAG Ventures, Insight Venture Partners"
Niantic,4000,Other,United States of America,470,"Nintendo, Google, Pokemon Company International, Spark Capital"
Nubank,4000,Fintech,Brazil,695,"Sequoia Capital, Redpoint e.ventures, Kaszek Ventures"
NuCom Group,2200,Other,Germany,,General Atlantic
Nxin,1078,Internet Software & Services,China,53,"Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund"
OfferUp,1000,E-commerce,United States of America,261,"Andreessen Horowitz, GGV Capital, T. Rowe Price"
Olacabs,5700,On-Demand,India,3946,"Accel Partners, SoftBank Group, Sequoia Capital"
One97 Communications,10000,Fintech,India,3070,"Intel Capital, Sapphire Ventures, Alibaba Group"
OpenDoor Labs,2000,Other,United States of America,1180,"Norwest Venture Partners, New Enterprise Associates, Khosla Ventures"
